ID,GlideNumber,Country,OtherCountry,lat,long,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3975,,China,,37.3916,106.115,45130.63,25/08/2012,29/08/2012,News,6,30,Torrential Rain,1.5
3976,,Nigeria,Camaroun,9.30166,12.1089,96830.55,25/08/2012,26/09/2012,News,127,20000,Heavy Rain,1.5
3977,,USA,,30.503,-89.346,83938.23,28/08/2012,07/09/2012,News,1,60000,Hurricane Isaac,1.5
3978,FL-2012-000161-VNM,Vietnam,,19.0626,105.458,16825.58,02/09/2012,07/09/2012,News,6,5000,Torrential Rain,1
3979,TC-2012-000159-PRK,North Korea,South Korea,38.1949,126.246,24179.42,17/08/2012,07/09/2012,News,59,24000,Tropical Storms,1.5
3980,,Uganda,,2.65647,32.726,57981.45,20/08/2012,07/09/2012,News,0,15000,Heavy Rain,1
3981,,Kenya,,1.36637,35.8295,18459.66,15/08/2012,07/09/2012,News,0,3000,Heavy Rain,1
3982,,The Gambia,,13.4093,-16.1515,4747.33,02/09/2012,07/09/2012,News,0,41,Heavy Rain,1
3983,,India,,31.3063,76.8569,37710.76,16/09/2012,18/09/2012,News,45,200,Torrential Rain,2
3984,,Pakistan,,28.0445,68.7756,23036.11,10/09/2012,29/10/2012,News,400,742000,Monsoonal Rain,1.5
3985,,Thailand,,17.0909,99.6405,44011.3,12/09/2012,26/09/2012,News,0,3000,Monsoonal Rain,1
3986,,China,,30.3813,107.186,56959.95,09/09/2012,18/09/2012,News,7,0,Heavy Rain,1.5
3987,,India,,26.8031,93.6379,42597.57,19/09/2012,15/10/2012,News,21,2000000,Monsoonal Rain,2
3988,,Nigeria,,5.50441,6.33994,12538.4,15/09/2012,29/10/2012,News,148,64000,Heavy Rain,2
3989,,USA,,63.1691,-149.932,8846.21,20/09/2012,26/09/2012,News,0,2000,Heavy Rain,1
3990,,United Kingdom,,54.4062,-2.13086,8507,23/09/2012,26/09/2012,News,0,1500,Heavy Rain,1
3991,,South Sudan,Sudan,9.56942,29.586,138743.9,07/09/2012,03/10/2012,News,15,3000,Heavy Rain,1
3992,,Somalia,,4.94456,44.8967,13753.99,22/09/2012,03/10/2012,News,6,12200,Heavy Rain,1.5
3993,,Iran,,36.5397,54.2681,11490.12,12/10/2012,15/10/2012,News,7,1000,Torrential Rain,1.5
3994,,Niger,,14.316,2.95649,121035.65,15/09/2012,15/10/2012,News,91,0,Heavy Rain,1
3995,,Chad,,11.0786,20.5066,86061.68,15/09/2012,15/10/2012,News,0,17000,Heavy Rain,1
3996,,Russia,,42.3329,47.5986,10482.16,09/10/2012,15/10/2012,News,7,1120,Torrential Rain,1.5
3997,TC-2012-000180-CUB; TC-2012-000180-,USA,Haiti,39.9231,-75.228,293995.06,24/10/2012,29/10/2012,News,65,0,Tropical Storm Sandy,2
3998,,Canada,,48.3513,-84.5569,1592.26,25/10/2012,29/10/2012,News,0,700,Heavy Rain,1.5
3999,,South Africa,,-32.9367,26.5615,14489.12,24/10/2012,29/10/2012,News,12,0,Heavy Rain,1.5
4000,TC-2012-000181-VNM;TC-2012-000179-P,Viet Nam,Philippines,19.0565,105.504,158124.44,24/10/2012,29/10/2012,News,30,260000,Tropical Storm Son-Tinh,2
4001,,India,,11.8283,78.8042,126082.83,04/11/2012,08/11/2012,News,40,70000,Tropical Storm Nilam,2
4002,,Malaysia,,2.87071,102.61,55785.44,04/11/2012,08/11/2012,News,0,4000,Heavy Rain,1
4003,,Spain,,37.0752,-3.62785,12226.85,13/11/2012,18/11/2012,News,0,120,Torrential Rain,1
4004,,Italy,,43.1605,12.4131,66842.9,11/11/2012,18/11/2012,News,4,500,"Torrential Rain, Hgh Tides",1.5
4005,,Philippines,,7.98723,124.469,68024.32,04/12/2012,04/12/2012,News,74,60000,Tropical Storm Bopha,2
4006,,Turkey,,39.5093,28.7097,15306.67,02/12/2012,04/12/2012,News,1,0,Torrential Rain,1
4007,,Argentina,,-27.5025,-59.6252,377212.55,20/11/2012,04/12/2012,News,6,10000,Heavy Rain,1.5
